block_id,start_time,end_time,date,K1,K2,K3,K4,K5,K6,K7,K8,pattern,stage,program,n_seconds,duration_s
21,2026-04-07 08:01:36+02:00,2026-04-07 08:01:36+02:00,2026-04-07,2,2,2,2,2,4,3,3,2-2-2-2-2-4-3-3,5,13,1,1
22,2026-04-07 08:01:37+02:00,2026-04-07 08:01:38+02:00,2026-04-07,2,2,2,2,2,4,2,3,2-2-2-2-2-4-2-3,5,13,2,2
23,2026-04-07 08:01:39+02:00,2026-04-07 08:01:39+02:00,2026-04-07,2,2,2,2,2,4,2,2,2-2-2-2-2-4-2-2,5,13,1,1
24,2026-04-07 08:01:40+02:00,2026-04-07 08:01:40+02:00,2026-04-07,2,5,2,5,2,4,2,2,2-5-2-5-2-4-2-2,5,13,1,1
25,2026-04-07 08:01:41+02:00,2026-04-07 08:02:14+02:00,2026-04-07,2,4,2,4,2,4,2,2,2-4-2-4-2-4-2-2,5,13,34,34
26,2026-04-07 08:02:15+02:00,2026-04-07 08:02:17+02:00,2026-04-07,2,3,2,3,2,3,2,2,2-3-2-3-2-3-2-2,6,13,3,3
27,2026-04-07 08:02:18+02:00,2026-04-07 08:02:18+02:00,2026-04-07,2,2,2,2,2,2,2,2,2-2-2-2-2-2-2-2,6,13,1,1
28,2026-04-07 08:02:19+02:00,2026-04-07 08:02:19+02:00,2026-04-07,5,2,2,2,5,2,2,2,5-2-2-2-5-2-2-2,6,13,1,1
29,2026-04-07 08:02:20+02:00,2026-04-07 08:02:22+02:00,2026-04-07,4,2,2,2,4,2,2,2,4-2-2-2-4-2-2-2,6,13,3,3
30,2026-04-07 08:02:23+02:00,2026-04-07 08:02:23+02:00,2026-04-07,4,2,2,2,4,2,2,5,4-2-2-2-4-2-2-5,6,13,1,1
31,2026-04-07 08:02:24+02:00,2026-04-07 08:02:38+02:00,2026-04-07,4,2,2,2,4,2,2,4,4-2-2-2-4-2-2-4,6,13,15,15
32,2026-04-07 08:02:39+02:00,2026-04-07 08:02:41+02:00,2026-04-07,3,2,2,2,3,2,2,4,3-2-2-2-3-2-2-4,2,13,3,3
33,2026-04-07 08:02:42+02:00,2026-04-07 08:02:43+02:00,2026-04-07,2,2,2,2,2,2,2,4,2-2-2-2-2-2-2-4,2,13,2,2
34,2026-04-07 08:02:44+02:00,2026-04-07 08:02:44+02:00,2026-04-07,2,2,2,2,2,2,5,4,2-2-2-2-2-2-5-4,2,13,1,1
35,2026-04-07 08:02:45+02:00,2026-04-07 08:02:46+02:00,2026-04-07,2,2,2,2,2,2,4,4,2-2-2-2-2-2-4-4,2,13,2,2
36,2026-04-07 08:02:47+02:00,2026-04-07 08:02:47+02:00,2026-04-07,2,2,2,2,2,5,4,4,2-2-2-2-2-5-4-4,2,13,1,1
37,2026-04-07 08:02:48+02:00,2026-04-07 08:03:03+02:00,2026-04-07,2,2,2,2,2,4,4,4,2-2-2-2-2-4-4-4,2,13,16,16
38,2026-04-07 08:03:04+02:00,2026-04-07 08:03:05+02:00,2026-04-07,2,2,2,2,2,4,3,4,2-2-2-2-2-4-3-4,5,13,2,2
39,2026-04-07 08:03:06+02:00,2026-04-07 08:03:06+02:00,2026-04-07,2,2,2,2,2,4,3,3,2-2-2-2-2-4-3-3,5,13,1,1
40,2026-04-07 08:03:07+02:00,2026-04-07 08:03:08+02:00,2026-04-07,2,2,2,2,2,4,2,3,2-2-2-2-2-4-2-3,5,13,2,2
41,2026-04-07 08:03:09+02:00,2026-04-07 08:03:09+02:00,2026-04-07,2,2,2,2,2,4,2,2,2-2-2-2-2-4-2-2,5,13,1,1
42,2026-04-07 08:03:10+02:00,2026-04-07 08:03:10+02:00,2026-04-07,2,5,2,5,2,4,2,2,2-5-2-5-2-4-2-2,5,13,1,1
43,2026-04-07 08:03:11+02:00,2026-04-07 08:03:44+02:00,2026-04-07,2,4,2,4,2,4,2,2,2-4-2-4-2-4-2-2,5,13,34,34
44,2026-04-07 08:03:45+02:00,2026-04-07 08:03:47+02:00,2026-04-07,2,3,2,3,2,3,2,2,2-3-2-3-2-3-2-2,6,13,3,3
45,2026-04-07 08:03:48+02:00,2026-04-07 08:03:48+02:00,2026-04-07,2,2,2,2,2,2,2,2,2-2-2-2-2-2-2-2,6,13,1,1
46,2026-04-07 08:03:49+02:00,2026-04-07 08:03:49+02:00,2026-04-07,5,2,2,2,5,2,2,2,5-2-2-2-5-2-2-2,6,13,1,1
47,2026-04-07 08:03:50+02:00,2026-04-07 08:03:52+02:00,2026-04-07,4,2,2,2,4,2,2,2,4-2-2-2-4-2-2-2,6,13,3,3
48,2026-04-07 08:03:53+02:00,2026-04-07 08:03:53+02:00,2026-04-07,4,2,2,2,4,2,2,5,4-2-2-2-4-2-2-5,6,13,1,1
49,2026-04-07 08:03:54+02:00,2026-04-07 08:03:55+02:00,2026-04-07,4,2,2,2,4,2,2,4,4-2-2-2-4-2-2-4,6,13,2,2
50,2026-04-07 08:03:56+02:00,2026-04-07 08:03:58+02:00,2026-04-07,3,2,2,2,3,2,2,4,3-2-2-2-3-2-2-4,2,13,3,3
51,2026-04-07 08:03:59+02:00,2026-04-07 08:04:00+02:00,2026-04-07,2,2,2,2,2,2,2,4,2-2-2-2-2-2-2-4,2,13,2,2
52,2026-04-07 08:04:01+02:00,2026-04-07 08:04:01+02:00,2026-04-07,2,2,2,2,2,2,5,4,2-2-2-2-2-2-5-4,2,13,1,1
53,2026-04-07 08:04:02+02:00,2026-04-07 08:04:03+02:00,2026-04-07,2,2,2,2,2,2,4,4,2-2-2-2-2-2-4-4,2,13,2,2
54,2026-04-07 08:04:04+02:00,2026-04-07 08:04:04+02:00,2026-04-07,2,2,2,2,2,5,4,4,2-2-2-2-2-5-4-4,2,13,1,1
55,2026-04-07 08:04:05+02:00,2026-04-07 08:04:33+02:00,2026-04-07,2,2,2,2,2,4,4,4,2-2-2-2-2-4-4-4,2,13,29,29
56,2026-04-07 08:04:34+02:00,2026-04-07 08:04:35+02:00,2026-04-07,2,2,2,2,2,4,3,4,2-2-2-2-2-4-3-4,5,13,2,2
57,2026-04-07 08:04:36+02:00,2026-04-07 08:04:36+02:00,2026-04-07,2,2,2,2,2,4,3,3,2-2-2-2-2-4-3-3,5,13,1,1
58,2026-04-07 08:04:37+02:00,2026-04-07 08:04:38+02:00,2026-04-07,2,2,2,2,2,4,2,3,2-2-2-2-2-4-2-3,5,13,2,2
59,2026-04-07 08:04:39+02:00,2026-04-07 08:04:39+02:00,2026-04-07,2,2,2,2,2,4,2,2,2-2-2-2-2-4-2-2,5,13,1,1
60,2026-04-07 08:04:40+02:00,2026-04-07 08:04:40+02:00,2026-04-07,2,5,2,5,2,4,2,2,2-5-2-5-2-4-2-2,5,13,1,1
61,2026-04-07 08:04:41+02:00,2026-04-07 08:05:10+02:00,2026-04-07,2,4,2,4,2,4,2,2,2-4-2-4-2-4-2-2,5,13,30,30
62,2026-04-07 08:05:11+02:00,2026-04-07 08:05:13+02:00,2026-04-07,2,3,2,3,2,3,2,2,2-3-2-3-2-3-2-2,6,13,3,3
63,2026-04-07 08:05:14+02:00,2026-04-07 08:05:14+02:00,2026-04-07,2,2,2,2,2,2,2,2,2-2-2-2-2-2-2-2,6,13,1,1
64,2026-04-07 08:05:15+02:00,2026-04-07 08:05:15+02:00,2026-04-07,5,2,2,2,5,2,2,2,5-2-2-2-5-2-2-2,6,13,1,1
65,2026-04-07 08:05:16+02:00,2026-04-07 08:05:18+02:00,2026-04-07,4,2,2,2,4,2,2,2,4-2-2-2-4-2-2-2,6,13,3,3
66,2026-04-07 08:05:19+02:00,2026-04-07 08:05:19+02:00,2026-04-07,4,2,2,2,4,2,2,5,4-2-2-2-4-2-2-5,6,13,1,1
67,2026-04-07 08:05:20+02:00,2026-04-07 08:05:21+02:00,2026-04-07,4,2,2,2,4,2,2,4,4-2-2-2-4-2-2-4,6,13,2,2
68,2026-04-07 08:05:22+02:00,2026-04-07 08:05:24+02:00,2026-04-07,3,2,2,2,3,2,2,4,3-2-2-2-3-2-2-4,2,13,3,3
69,2026-04-07 08:05:25+02:00,2026-04-07 08:05:26+02:00,2026-04-07,2,2,2,2,2,2,2,4,2-2-2-2-2-2-2-4,2,13,2,2
70,2026-04-07 08:05:27+02:00,2026-04-07 08:05:27+02:00,2026-04-07,2,2,2,2,2,2,5,4,2-2-2-2-2-2-5-4,2,13,1,1
71,2026-04-07 08:05:28+02:00,2026-04-07 08:05:29+02:00,2026-04-07,2,2,2,2,2,2,4,4,2-2-2-2-2-2-4-4,2,13,2,2
72,2026-04-07 08:05:30+02:00,2026-04-07 08:05:30+02:00,2026-04-07,2,2,2,2,2,5,4,4,2-2-2-2-2-5-4-4,2,13,1,1
73,2026-04-07 08:05:31+02:00,2026-04-07 08:06:03+02:00,2026-04-07,2,2,2,2,2,4,4,4,2-2-2-2-2-4-4-4,2,13,33,33
74,2026-04-07 08:06:04+02:00,2026-04-07 08:06:05+02:00,2026-04-07,2,2,2,2,2,4,3,4,2-2-2-2-2-4-3-4,5,13,2,2
75,2026-04-07 08:06:06+02:00,2026-04-07 08:06:06+02:00,2026-04-07,2,2,2,2,2,4,3,3,2-2-2-2-2-4-3-3,5,13,1,1
76,2026-04-07 08:06:07+02:00,2026-04-07 08:06:08+02:00,2026-04-07,2,2,2,2,2,4,2,3,2-2-2-2-2-4-2-3,5,13,2,2
77,2026-04-07 08:06:09+02:00,2026-04-07 08:06:09+02:00,2026-04-07,2,2,2,2,2,4,2,2,2-2-2-2-2-4-2-2,5,13,1,1
78,2026-04-07 08:06:10+02:00,2026-04-07 08:06:10+02:00,2026-04-07,2,5,2,5,2,4,2,2,2-5-2-5-2-4-2-2,5,13,1,1
79,2026-04-07 08:06:11+02:00,2026-04-07 08:06:44+02:00,2026-04-07,2,4,2,4,2,4,2,2,2-4-2-4-2-4-2-2,5,13,34,34
80,2026-04-07 08:06:45+02:00,2026-04-07 08:06:47+02:00,2026-04-07,2,3,2,3,2,3,2,2,2-3-2-3-2-3-2-2,6,13,3,3
81,2026-04-07 08:06:48+02:00,2026-04-07 08:06:48+02:00,2026-04-07,2,2,2,2,2,2,2,2,2-2-2-2-2-2-2-2,6,13,1,1
82,2026-04-07 08:06:49+02:00,2026-04-07 08:06:49+02:00,2026-04-07,5,2,2,2,5,2,2,2,5-2-2-2-5-2-2-2,6,13,1,1
83,2026-04-07 08:06:50+02:00,2026-04-07 08:06:52+02:00,2026-04-07,4,2,2,2,4,2,2,2,4-2-2-2-4-2-2-2,6,13,3,3
84,2026-04-07 08:06:53+02:00,2026-04-07 08:06:53+02:00,2026-04-07,4,2,2,2,4,2,2,5,4-2-2-2-4-2-2-5,6,13,1,1
85,2026-04-07 08:06:54+02:00,2026-04-07 08:07:07+02:00,2026-04-07,4,2,2,2,4,2,2,4,4-2-2-2-4-2-2-4,6,13,14,14
86,2026-04-07 08:07:08+02:00,2026-04-07 08:07:10+02:00,2026-04-07,3,2,2,2,3,2,2,4,3-2-2-2-3-2-2-4,2,13,3,3
87,2026-04-07 08:07:11+02:00,2026-04-07 08:07:12+02:00,2026-04-07,2,2,2,2,2,2,2,4,2-2-2-2-2-2-2-4,2,13,2,2
88,2026-04-07 08:07:13+02:00,2026-04-07 08:07:13+02:00,2026-04-07,2,2,2,2,2,2,5,4,2-2-2-2-2-2-5-4,2,13,1,1
89,2026-04-07 08:07:14+02:00,2026-04-07 08:07:15+02:00,2026-04-07,2,2,2,2,2,2,4,4,2-2-2-2-2-2-4-4,2,13,2,2
90,2026-04-07 08:07:16+02:00,2026-04-07 08:07:16+02:00,2026-04-07,2,2,2,2,2,5,4,4,2-2-2-2-2-5-4-4,2,13,1,1
91,2026-04-07 08:07:17+02:00,2026-04-07 08:07:33+02:00,2026-04-07,2,2,2,2,2,4,4,4,2-2-2-2-2-4-4-4,2,13,17,17
92,2026-04-07 08:07:34+02:00,2026-04-07 08:07:35+02:00,2026-04-07,2,2,2,2,2,4,3,4,2-2-2-2-2-4-3-4,5,13,2,2
93,2026-04-07 08:07:36+02:00,2026-04-07 08:07:36+02:00,2026-04-07,2,2,2,2,2,4,3,3,2-2-2-2-2-4-3-3,5,13,1,1
94,2026-04-07 08:07:37+02:00,2026-04-07 08:07:38+02:00,2026-04-07,2,2,2,2,2,4,2,3,2-2-2-2-2-4-2-3,5,13,2,2
95,2026-04-07 08:07:39+02:00,2026-04-07 08:07:39+02:00,2026-04-07,2,2,2,2,2,4,2,2,2-2-2-2-2-4-2-2,5,13,1,1
96,2026-04-07 08:07:40+02:00,2026-04-07 08:07:40+02:00,2026-04-07,2,5,2,5,2,4,2,2,2-5-2-5-2-4-2-2,5,13,1,1
97,2026-04-07 08:07:41+02:00,2026-04-07 08:08:14+02:00,2026-04-07,2,4,2,4,2,4,2,2,2-4-2-4-2-4-2-2,5,13,34,34
98,2026-04-07 08:08:15+02:00,2026-04-07 08:08:17+02:00,2026-04-07,2,3,2,3,2,3,2,2,2-3-2-3-2-3-2-2,6,13,3,3
99,2026-04-07 08:08:18+02:00,2026-04-07 08:08:18+02:00,2026-04-07,2,2,2,2,2,2,2,2,2-2-2-2-2-2-2-2,6,13,1,1
100,2026-04-07 08:08:19+02:00,2026-04-07 08:08:19+02:00,2026-04-07,5,2,2,2,5,2,2,2,5-2-2-2-5-2-2-2,6,13,1,1
101,2026-04-07 08:08:20+02:00,2026-04-07 08:08:22+02:00,2026-04-07,4,2,2,2,4,2,2,2,4-2-2-2-4-2-2-2,6,13,3,3
102,2026-04-07 08:08:23+02:00,2026-04-07 08:08:23+02:00,2026-04-07,4,2,2,2,4,2,2,5,4-2-2-2-4-2-2-5,6,13,1,1
103,2026-04-07 08:08:24+02:00,2026-04-07 08:08:34+02:00,2026-04-07,4,2,2,2,4,2,2,4,4-2-2-2-4-2-2-4,6,13,11,11
104,2026-04-07 08:08:35+02:00,2026-04-07 08:08:37+02:00,2026-04-07,3,2,2,2,3,2,2,4,3-2-2-2-3-2-2-4,2,13,3,3
105,2026-04-07 08:08:38+02:00,2026-04-07 08:08:39+02:00,2026-04-07,2,2,2,2,2,2,2,4,2-2-2-2-2-2-2-4,2,13,2,2
106,2026-04-07 08:08:40+02:00,2026-04-07 08:08:40+02:00,2026-04-07,2,2,2,2,2,2,5,4,2-2-2-2-2-2-5-4,2,13,1,1
107,2026-04-07 08:08:41+02:00,2026-04-07 08:08:42+02:00,2026-04-07,2,2,2,2,2,2,4,4,2-2-2-2-2-2-4-4,2,13,2,2
108,2026-04-07 08:08:43+02:00,2026-04-07 08:08:43+02:00,2026-04-07,2,2,2,2,2,5,4,4,2-2-2-2-2-5-4-4,2,13,1,1
109,2026-04-07 08:08:44+02:00,2026-04-07 08:09:03+02:00,2026-04-07,2,2,2,2,2,4,4,4,2-2-2-2-2-4-4-4,2,13,20,20
110,2026-04-07 08:09:04+02:00,2026-04-07 08:09:05+02:00,2026-04-07,2,2,2,2,2,4,3,4,2-2-2-2-2-4-3-4,5,13,2,2
111,2026-04-07 08:09:06+02:00,2026-04-07 08:09:06+02:00,2026-04-07,2,2,2,2,2,4,3,3,2-2-2-2-2-4-3-3,5,13,1,1
112,2026-04-07 08:09:07+02:00,2026-04-07 08:09:08+02:00,2026-04-07,2,2,2,2,2,4,2,3,2-2-2-2-2-4-2-3,5,13,2,2
113,2026-04-07 08:09:09+02:00,2026-04-07 08:09:09+02:00,2026-04-07,2,2,2,2,2,4,2,2,2-2-2-2-2-4-2-2,5,13,1,1
114,2026-04-07 08:09:10+02:00,2026-04-07 08:09:10+02:00,2026-04-07,2,5,2,5,2,4,2,2,2-5-2-5-2-4-2-2,5,13,1,1
115,2026-04-07 08:09:11+02:00,2026-04-07 08:09:44+02:00,2026-04-07,2,4,2,4,2,4,2,2,2-4-2-4-2-4-2-2,5,13,34,34
116,2026-04-07 08:09:45+02:00,2026-04-07 08:09:47+02:00,2026-04-07,2,3,2,3,2,3,2,2,2-3-2-3-2-3-2-2,6,13,3,3
117,2026-04-07 08:09:48+02:00,2026-04-07 08:09:48+02:00,2026-04-07,2,2,2,2,2,2,2,2,2-2-2-2-2-2-2-2,6,13,1,1
118,2026-04-07 08:09:49+02:00,2026-04-07 08:09:49+02:00,2026-04-07,5,2,2,2,5,2,2,2,5-2-2-2-5-2-2-2,6,13,1,1
119,2026-04-07 08:09:50+02:00,2026-04-07 08:09:52+02:00,2026-04-07,4,2,2,2,4,2,2,2,4-2-2-2-4-2-2-2,6,13,3,3
120,2026-04-07 08:09:53+02:00,2026-04-07 08:09:53+02:00,2026-04-07,4,2,2,2,4,2,2,5,4-2-2-2-4-2-2-5,6,13,1,1
121,2026-04-07 08:09:54+02:00,2026-04-07 08:10:08+02:00,2026-04-07,4,2,2,2,4,2,2,4,4-2-2-2-4-2-2-4,6,13,15,15
122,2026-04-07 08:10:09+02:00,2026-04-07 08:10:11+02:00,2026-04-07,3,2,2,2,3,2,2,4,3-2-2-2-3-2-2-4,2,13,3,3
123,2026-04-07 08:10:12+02:00,2026-04-07 08:10:13+02:00,2026-04-07,2,2,2,2,2,2,2,4,2-2-2-2-2-2-2-4,2,13,2,2
124,2026-04-07 08:10:14+02:00,2026-04-07 08:10:14+02:00,2026-04-07,2,2,2,2,2,2,5,4,2-2-2-2-2-2-5-4,2,13,1,1
125,2026-04-07 08:10:15+02:00,2026-04-07 08:10:16+02:00,2026-04-07,2,2,2,2,2,2,4,4,2-2-2-2-2-2-4-4,2,13,2,2
126,2026-04-07 08:10:17+02:00,2026-04-07 08:10:17+02:00,2026-04-07,2,2,2,2,2,5,4,4,2-2-2-2-2-5-4-4,2,13,1,1
127,2026-04-07 08:10:18+02:00,2026-04-07 08:10:33+02:00,2026-04-07,2,2,2,2,2,4,4,4,2-2-2-2-2-4-4-4,2,13,16,16
128,2026-04-07 08:10:34+02:00,2026-04-07 08:10:35+02:00,2026-04-07,2,2,2,2,2,4,3,4,2-2-2-2-2-4-3-4,5,13,2,2
129,2026-04-07 08:10:36+02:00,2026-04-07 08:10:36+02:00,2026-04-07,2,2,2,2,2,4,3,3,2-2-2-2-2-4-3-3,5,13,1,1
130,2026-04-07 08:10:37+02:00,2026-04-07 08:10:38+02:00,2026-04-07,2,2,2,2,2,4,2,3,2-2-2-2-2-4-2-3,5,13,2,2
131,2026-04-07 08:10:39+02:00,2026-04-07 08:10:39+02:00,2026-04-07,2,2,2,2,2,4,2,2,2-2-2-2-2-4-2-2,5,13,1,1
132,2026-04-07 08:10:40+02:00,2026-04-07 08:10:40+02:00,2026-04-07,2,5,2,5,2,4,2,2,2-5-2-5-2-4-2-2,5,13,1,1
133,2026-04-07 08:10:41+02:00,2026-04-07 08:11:12+02:00,2026-04-07,2,4,2,4,2,4,2,2,2-4-2-4-2-4-2-2,5,13,32,32
134,2026-04-07 08:11:13+02:00,2026-04-07 08:11:15+02:00,2026-04-07,2,3,2,3,2,3,2,2,2-3-2-3-2-3-2-2,6,13,3,3
135,2026-04-07 08:11:16+02:00,2026-04-07 08:11:16+02:00,2026-04-07,2,2,2,2,2,2,2,2,2-2-2-2-2-2-2-2,6,13,1,1
136,2026-04-07 08:11:17+02:00,2026-04-07 08:11:17+02:00,2026-04-07,5,2,2,2,5,2,2,2,5-2-2-2-5-2-2-2,6,13,1,1
137,2026-04-07 08:11:18+02:00,2026-04-07 08:11:20+02:00,2026-04-07,4,2,2,2,4,2,2,2,4-2-2-2-4-2-2-2,6,13,3,3
138,2026-04-07 08:11:21+02:00,2026-04-07 08:11:21+02:00,2026-04-07,4,2,2,2,4,2,2,5,4-2-2-2-4-2-2-5,6,13,1,1
139,2026-04-07 08:11:22+02:00,2026-04-07 08:11:24+02:00,2026-04-07,4,2,2,2,4,2,2,4,4-2-2-2-4-2-2-4,6,13,3,3
140,2026-04-07 08:11:25+02:00,2026-04-07 08:11:27+02:00,2026-04-07,3,2,2,2,3,2,2,4,3-2-2-2-3-2-2-4,2,13,3,3
141,2026-04-07 08:11:28+02:00,2026-04-07 08:11:29+02:00,2026-04-07,2,2,2,2,2,2,2,4,2-2-2-2-2-2-2-4,2,13,2,2
142,2026-04-07 08:11:30+02:00,2026-04-07 08:11:30+02:00,2026-04-07,2,2,2,2,2,2,5,4,2-2-2-2-2-2-5-4,2,13,1,1
143,2026-04-07 08:11:31+02:00,2026-04-07 08:11:32+02:00,2026-04-07,2,2,2,2,2,2,4,4,2-2-2-2-2-2-4-4,2,13,2,2
144,2026-04-07 08:11:33+02:00,2026-04-07 08:11:33+02:00,2026-04-07,2,2,2,2,2,5,4,4,2-2-2-2-2-5-4-4,2,13,1,1
145,2026-04-07 08:11:34+02:00,2026-04-07 08:12:03+02:00,2026-04-07,2,2,2,2,2,4,4,4,2-2-2-2-2-4-4-4,2,13,30,30
146,2026-04-07 08:12:04+02:00,2026-04-07 08:12:05+02:00,2026-04-07,2,2,2,2,2,4,3,4,2-2-2-2-2-4-3-4,5,13,2,2
147,2026-04-07 08:12:06+02:00,2026-04-07 08:12:06+02:00,2026-04-07,2,2,2,2,2,4,3,3,2-2-2-2-2-4-3-3,5,13,1,1
148,2026-04-07 08:12:07+02:00,2026-04-07 08:12:08+02:00,2026-04-07,2,2,2,2,2,4,2,3,2-2-2-2-2-4-2-3,5,13,2,2
149,2026-04-07 08:12:09+02:00,2026-04-07 08:12:09+02:00,2026-04-07,2,2,2,2,2,4,2,2,2-2-2-2-2-4-2-2,5,13,1,1
150,2026-04-07 08:12:10+02:00,2026-04-07 08:12:10+02:00,2026-04-07,2,5,2,5,2,4,2,2,2-5-2-5-2-4-2-2,5,13,1,1
151,2026-04-07 08:12:11+02:00,2026-04-07 08:12:44+02:00,2026-04-07,2,4,2,4,2,4,2,2,2-4-2-4-2-4-2-2,5,13,34,34
152,2026-04-07 08:12:45+02:00,2026-04-07 08:12:47+02:00,2026-04-07,2,3,2,3,2,3,2,2,2-3-2-3-2-3-2-2,6,13,3,3
153,2026-04-07 08:12:48+02:00,2026-04-07 08:12:48+02:00,2026-04-07,2,2,2,2,2,2,2,2,2-2-2-2-2-2-2-2,6,13,1,1
154,2026-04-07 08:12:49+02:00,2026-04-07 08:12:49+02:00,2026-04-07,5,2,2,2,5,2,2,2,5-2-2-2-5-2-2-2,6,13,1,1
155,2026-04-07 08:12:50+02:00,2026-04-07 08:12:52+02:00,2026-04-07,4,2,2,2,4,2,2,2,4-2-2-2-4-2-2-2,6,13,3,3
156,2026-04-07 08:12:53+02:00,2026-04-07 08:12:53+02:00,2026-04-07,4,2,2,2,4,2,2,5,4-2-2-2-4-2-2-5,6,13,1,1
157,2026-04-07 08:12:54+02:00,2026-04-07 08:13:08+02:00,2026-04-07,4,2,2,2,4,2,2,4,4-2-2-2-4-2-2-4,6,13,15,15
158,2026-04-07 08:13:09+02:00,2026-04-07 08:13:11+02:00,2026-04-07,3,2,2,2,3,2,2,4,3-2-2-2-3-2-2-4,2,13,3,3
159,2026-04-07 08:13:12+02:00,2026-04-07 08:13:13+02:00,2026-04-07,2,2,2,2,2,2,2,4,2-2-2-2-2-2-2-4,2,13,2,2
160,2026-04-07 08:13:14+02:00,2026-04-07 08:13:14+02:00,2026-04-07,2,2,2,2,2,2,5,4,2-2-2-2-2-2-5-4,2,13,1,1
161,2026-04-07 08:13:15+02:00,2026-04-07 08:13:16+02:00,2026-04-07,2,2,2,2,2,2,4,4,2-2-2-2-2-2-4-4,2,13,2,2
162,2026-04-07 08:13:17+02:00,2026-04-07 08:13:17+02:00,2026-04-07,2,2,2,2,2,5,4,4,2-2-2-2-2-5-4-4,2,13,1,1
163,2026-04-07 08:13:18+02:00,2026-04-07 08:13:33+02:00,2026-04-07,2,2,2,2,2,4,4,4,2-2-2-2-2-4-4-4,2,13,16,16
164,2026-04-07 08:13:34+02:00,2026-04-07 08:13:35+02:00,2026-04-07,2,2,2,2,2,4,3,4,2-2-2-2-2-4-3-4,5,13,2,2
165,2026-04-07 08:13:36+02:00,2026-04-07 08:13:36+02:00,2026-04-07,2,2,2,2,2,4,3,3,2-2-2-2-2-4-3-3,5,13,1,1
166,2026-04-07 08:13:37+02:00,2026-04-07 08:13:38+02:00,2026-04-07,2,2,2,2,2,4,2,3,2-2-2-2-2-4-2-3,5,13,2,2
167,2026-04-07 08:13:39+02:00,2026-04-07 08:13:39+02:00,2026-04-07,2,2,2,2,2,4,2,2,2-2-2-2-2-4-2-2,5,13,1,1
